write testing
INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	0
Global:
LX	375
LY	375
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
49	5.7343	38.8089	2.43421	1.43178	2.41719	1.28147	0.0728743	1.14423
64	16.8188	111.728	1.65501	2.26903	2.35914	0.1155	1.29507	1.01902
65	42.7176	76.0421	2.30156	2.24986	1.73177	1.20205	1.07366	0.0771199
66	52.3294	142.375	2.28581	2.35621	1.64117	1.28668	1.03433	0.108578
71	221.649	364.362	2.21405	1.99578	2.07336	0.397845	1.43452	0.600044
72	71.7589	297.46	1.91956	1.74153	2.6221	0.578197	1.25235	0.292568
73	146.588	327.485	1.84241	2.64689	1.79388	1.30279	0.405848	0.515357
78	56.7277	353.013	2.19488	1.56406	2.52425	0.919224	0.960245	0.137195
172	39.9749	203.406	2.379	2.21707	1.68712	0.712125	1.55568	0.396408
173	29.5059	172.925	1.96068	2.16913	2.15338	1.23209	0.155403	0.824937
175	10.5038	112.751	2.40306	2.20061	1.67952	1.36209	0.939749	0.261782
189	8.8023	262.035	1.99396	2.09546	2.19376	0.994495	1.05022	0.053237
192	72.2569	282.292	1.7384	2.39211	2.15268	1.4839	0.40756	0.461638
193	43.6856	262.122	1.63544	2.11837	2.52938	0.820205	0.444483	1.2622
194	90.2163	260.424	1.09019	2.71024	2.48276	1.47992	0.420292	0.124804
195	89.2204	265.223	1.55219	2.16709	2.56391	0.590088	1.26955	0.493458
196	47.3757	207.234	2.60671	1.69544	1.98104	1.36086	0.790208	0.513145
197	63.7843	206.29	1.65249	1.96751	2.66319	0.290332	1.04126	1.27409
204	145.206	336.133	2.31406	1.48533	2.48379	0.255266	1.49716	0.487401
205	115.909	363.673	2.20888	2.2314	1.84291	1.28266	0.361205	0.743237
218	48.396	335.369	1.4641	2.64612	2.17297	1.39106	0.304579	0.427472
219	48.3852	335.559	2.63888	1.68117	1.96314	0.194513	1.17608	0.646069
465	126.04	38.7254	2.35353	1.54643	2.38322	1.43806	0.51192	0.664846
466	141.476	91.2845	2.05566	2.38597	1.84155	0.828624	1.39219	0.364361
577	344.325	359.038	2.26018	2.3534	1.66961	0.504629	1.33943	0.67207
578	289.193	355.391	2.56446	2.03784	1.68089	0.640267	1.48071	0.37865
579	303.121	365.803	2.3369	1.96041	1.98587	1.33118	0.817473	0.350976
580	366.684	291.444	1.70265	2.18396	2.39657	0.192315	1.3906	0.899664
581	340.514	299.5	2.34223	1.80549	2.13546	1.46973	0.604126	0.566987
582	329.956	293.722	2.38486	2.27422	1.62411	0.691683	1.50374	0.445429
583	155.176	277.634	1.82319	2.6175	1.84249	1.0976	0.176357	0.735238
584	158.16	312.364	1.75594	2.12453	2.40271	0.778512	1.16173	0.283755
627	158.577	94.7371	2.21204	1.75707	2.31408	1.30523	0.148189	0.957829
628	178.84	128.231	2.26422	2.06269	1.95627	0.982757	1.1807	0.048589
629	208.171	132.644	2.14154	2.04909	2.09256	1.22012	0.17384	0.896928
630	81.9915	46.9145	1.88468	2.31061	2.08789	1.23445	0.863197	0.0791435
631	120.308	35.3922	2.19145	2.32272	1.76901	0.568963	1.45347	0.592396
634	52.2324	3.9705	2.36412	1.53377	2.38529	0.217259	1.4099	0.549628
