INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	10.1
Global:
LX	374.314
LY	373.518
A0	2812.5
SEED	89542
TIMEINTERVAL	0.1
MINAREA	28.125
MINLENGTH	0.883883
NEWEDGELENGTH	1.76777
K	0.848528
GAMMA	1
TOTALTIME	10
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	100
ALPHAM	0.282843
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	0
equilibriumtolerance	1e-11
NUCLEATIONTHRESHOLD	1
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	50
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
49	13.2863	28.1458	2.32049	1.73084	2.23185	1.36999	0.25406	0.906186
65	30.2746	63.1963	2.16361	1.92077	2.19881	0.940309	1.10188	0.020077
71	211.925	354.149	1.9368	2.21644	2.12995	0.389579	1.45455	0.71864
72	78.7276	304.712	2.08814	1.91298	2.28207	0.703536	1.29702	0.252954
73	145.898	328.513	2.03028	2.23077	2.02213	1.35567	0.344608	0.670533
78	58.1481	346.593	2.24458	1.73458	2.30403	0.940278	1.0493	0.0729895
172	30.2501	206.141	2.31656	1.89057	2.07605	0.567376	1.53619	0.377911
173	25.633	176.566	2.12389	2.1846	1.97469	1.31098	0.323635	0.73831
189	9.30842	279.749	1.83135	2.11696	2.33488	1.09594	0.878214	0.0374588
192	76.9147	294.566	1.93287	2.05126	2.29906	1.51789	0.36836	0.598075
193	42.8803	273.631	1.94677	2.40987	1.92654	0.42193	1.3852	0.783007
194	99.9534	260.29	1.54287	2.26184	2.47847	1.54767	0.35469	0.416746
195	101.275	275.766	1.87448	2.26582	2.14288	0.718738	1.35141	0.414172
196	52.2319	220.888	2.33314	1.96382	1.98622	1.38412	0.764366	0.402205
197	61.4743	218.845	1.80946	2.10156	2.37217	0.0822417	1.26833	0.968538
204	147.042	338.79	2.32141	1.87669	2.08508	0.520891	1.56343	0.417455
205	120.361	358.044	2.33449	2.13889	1.8098	1.34926	0.444359	0.722889
465	141.112	29.3155	2.25017	1.84083	2.19218	1.45301	0.592485	0.532601
466	144.306	84.4276	2.03721	2.30402	1.94196	0.610088	1.56053	0.541921
577	340.85	354.98	2.03489	2.22183	2.02646	0.50341	1.51664	0.607505
578	281.305	343.805	2.17911	1.99852	2.10556	0.465407	1.51818	0.533853
579	313.271	366.827	2.11172	2.20476	1.96671	1.46159	0.696653	0.359205
580	2.16014	298.406	2.10886	1.90741	2.26691	0.150469	1.28393	0.803236
581	343.106	309.843	2.25641	1.95096	2.07582	1.45842	0.645259	0.482945
582	325.76	299.09	2.20806	2.07701	1.99812	0.549063	1.54812	0.489441
583	155.223	287.745	1.8982	2.23247	2.15252	1.1676	0.0913432	0.857756
584	164.027	310.907	1.99042	2.31441	1.97836	0.938806	1.21361	0.218399
627	164.425	93.1367	1.95682	2.01329	2.31307	1.38693	0.230395	0.748016
628	177.239	130.092	2.03743	2.03494	2.21081	0.885835	1.15035	0.131635
