INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	40
Global:
LX	406.315
LY	685.492
A0	1406.25
SEED	89542
TIMEINTERVAL	1
MINAREA	14.0625
MINLENGTH	0.625
NEWEDGELENGTH	1.25
K	1.33333
GAMMA	10
TOTALTIME	40
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	4
ALPHAM	0.4
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	-0.1
equilibriumtolerance	0.1
NUCLEATIONTHRESHOLD	2
NUCLEATIONBASECRITERIA	1
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	200
EpsilonMax	0.6
KAPPA	0.23
GAMMA0	1
Y	5.66
endGlobal
Vertices
id	x	y	Anglestheta1	Anglestheta2	Anglestheta3	PsiAngle1	PsiAngle2	PsiAngle3	Nucleation1	Nucleation2	Nucleation3
179	358.35	528.005	1.87926	1.86817	2.53575	1.00369	0.870023	0.0696094	0	0	1
318	155.523	222.642	2.47727	1.57904	2.22687	0.00196269	1.1154	0.787557	1	0	0
324	198.518	31.099	1.42045	2.84931	2.01342	1.08875	0.0820422	0.628184	0	0	0
325	167.072	93.8692	1.71087	1.63867	2.93365	0.732887	0.941882	0.0864461	0	0	1
376	332.639	666.551	1.35116	2.56005	2.37198	1.57067	0.384929	0.29065	0	0	0
379	280.219	485.937	2.91456	1.33773	2.0309	0.0233005	1.03875	0.645565	1	0	0
568	184.63	244.603	2.64345	1.58444	2.0553	0.205118	1.23277	0.587102	1	0	0
570	185.926	215.13	1.58035	2.52652	2.17631	1.43965	0.351492	0.438685	0	0	0
572	202.166	194.163	2.76951	1.14717	2.3665	0.302102	1.48535	0.271482	1	0	0
573	215.928	220.081	1.44015	2.24169	2.60135	1.33886	0.502053	0.21802	0	0	1
574	186.698	353.544	1.17765	2.71525	2.39029	1.45368	0.258537	0.330289	0	1	0
730	355.557	420.167	1.58371	2.31434	2.38514	1.31582	0.633203	0.15865	0	0	1
731	325.513	457.308	1.93996	1.87071	2.47252	0.678868	1.22646	0.256486	0	0	1
732	312.688	476.42	1.1174	2.50075	2.66504	1.53847	0.2706	0.288099	0	0	0
734	345.872	496.073	2.69436	1.2882	2.30063	0.148911	1.29922	0.495191	1	0	0
