Voronoi Tesselation Data: 
NumbCells 400 	 rng 2031 
ratio pressure to tension	3.333333
Global:
LX	750.000000
LY	750.000000
A0	1406.250000
SEED	89542
TIMEINTERVAL	1.000000
MINAREA	14.062500
MINLENGTH	0.625000
NEWEDGELENGTH	1.250000
K	1.333333
GAMMA	10.000000
TOTALTIME	100.000000
CURRENTTIME	0.000000
VERBOSEON	1
INITIALSTEPSIZE	0.000100
error_tolerance_absolute_mechanical	0.010000
TISSUE_ALPHA	4.00
ALPHAM	0.400000
TISSUE_EXT_STRESS_X	0.000000
TISSUE_EXT_STRESS_Y	0.000000
equilibriumtolerance	1.000000e-02
NUCLEATIONTHRESHOLD	2.000000
NUCLEATIONBASECRITERIA	1
endGlobal
Vertices
id	x	y
127	 91.3572	 238.3079
131	 0.3909	 144.6301
313	 245.7244	 430.1843
314	 233.3991	 456.5071
315	 231.7025	 456.9412
316	 344.2725	 312.2413
317	 370.0598	 336.6012
318	 268.3191	 417.0074
319	 364.9439	 169.7218
320	 8.3753	 202.2142
325	 85.4847	 424.7789
326	 102.5724	 421.6369
327	 65.1787	 407.5883
332	 6.0326	 563.7082
338	 380.0852	 412.9193
339	 369.5883	 395.1821
340	 329.2628	 395.6145
341	 316.9630	 364.5175
342	 368.6764	 349.5177
343	 379.3200	 366.2787
344	 292.0303	 432.2771
345	 363.8147	 465.2066
346	 368.9487	 442.7219
347	 369.4203	 444.6026
348	 326.6150	 473.8056
349	 318.4214	 422.3369
350	 305.0623	 432.0254
351	 362.3806	 118.7034
352	 337.6087	 193.5276
371	 154.5283	 317.1130
372	 130.8885	 333.6011
373	 141.6348	 332.4429
382	 3.8686	 41.9815
855	 208.5166	 410.7689
856	 344.9010	 308.9947
857	 368.1220	 283.1363
858	 382.7631	 172.2618
859	 389.9060	 129.1267
860	 419.8382	 173.7542
861	 387.3881	 177.1298
862	 82.7797	 324.7302
876	 72.3712	 443.2629
877	 45.3039	 437.2815
878	 37.4629	 462.3026
903	 68.4009	 372.4278
904	 57.1591	 336.5510
905	 17.1830	 422.3781
906	 34.9784	 378.8735
907	 42.1123	 414.5094
908	 37.2774	 421.4214
909	 183.8925	 463.6767
910	 171.6045	 483.4550
911	 196.3185	 500.3915
912	 211.6313	 480.5025
913	 211.4649	 489.0332
914	 70.6462	 373.7315
915	 73.1053	 381.3138
916	 103.9772	 398.6441
918	 11.1195	 546.5017
919	 122.9279	 516.8810
920	 148.2010	 523.8379
921	 161.8734	 515.3575
922	 161.1810	 487.9066
923	 141.9833	 478.8612
926	 739.5205	 189.2910
927	 745.8689	 237.2341
939	 519.3632	 271.9403
940	 527.6148	 324.4068
941	 416.0139	 411.0461
942	 417.4836	 367.6291
943	 424.2620	 362.1308
952	 368.3352	 87.5783
953	 348.8599	 148.8832
954	 360.7692	 119.3971
955	 323.9389	 154.7676
956	 314.4536	 151.0699
957	 125.8346	 215.8074
958	 336.9333	 202.0168
959	 335.6860	 199.5473
963	 197.6535	 137.7727
1003	 138.5712	 130.5159
1502	 25.4814	 596.2199
1808	 182.7585	 445.4628
1809	 190.5435	 438.4644
1810	 193.8639	 425.0415
1811	 140.2712	 384.0854
1812	 151.4314	 399.4039
1813	 162.2666	 398.5612
1814	 158.1942	 355.7237
1815	 180.1789	 356.8580
1816	 209.2478	 403.3948
1817	 221.7027	 363.2625
1818	 187.1335	 367.9378
1819	 185.7604	 379.4751
1820	 374.7488	 282.0735
1821	 394.5670	 317.5742
1822	 310.0909	 359.4638
1823	 328.0219	 319.6007
1824	 445.8798	 252.6235
1825	 47.4816	 293.5978
1826	 72.2521	 257.5735
1840	 20.0413	 370.3019
1841	 20.1085	 370.5069
1845	 76.3845	 460.5286
1846	 50.5982	 471.6517
1881	 20.6543	 367.2189
1882	 50.7460	 334.4259
1883	 131.8794	 381.6069
1884	 116.6209	 385.0073
1885	 121.5154	 342.3350
1886	 101.0203	 346.4218
1887	 95.6423	 359.2461
1888	 35.6281	 544.5438
1889	 25.6152	 540.6286
1890	 28.8332	 506.1599
1891	 54.1259	 497.9844
1892	 15.9699	 494.7373
1893	 19.0901	 467.3761
1894	 0.5891	 452.2798
1911	 736.0708	 158.3573
1912	 700.8483	 153.9408
1913	 692.9628	 143.2829
1914	 711.6339	 201.0631
1915	 681.4851	 232.9604
1916	 687.2629	 195.7215
1917	 691.6983	 193.6862
1918	 696.2776	 241.1314
1919	 739.3700	 240.4557
1920	 719.5972	 230.7794
1929	 662.0130	 240.8237
1930	 655.4493	 189.5458
1931	 640.2514	 218.3143
1932	 616.3861	 223.6322
1933	 605.1371	 218.4468
1934	 606.0402	 219.5528
1935	 669.4080	 0.5719
1936	 487.5524	 232.2717
1937	 516.9521	 230.0982
1938	 469.7061	 318.0639
1939	 509.0066	 305.4640
1940	 514.1391	 275.4874
1941	 471.4280	 269.4084
1942	 478.2655	 266.4653
1945	 413.8485	 452.6095
1946	 372.2237	 480.2260
1947	 413.9582	 476.0405
1948	 422.8572	 488.5818
1949	 521.0487	 469.5404
1950	 604.4106	 439.2209
1953	 740.2826	 453.3364
1954	 725.0422	 484.4817
1955	 734.9846	 613.6264
1961	 476.1972	 337.0396
1962	 508.9957	 351.3906
1963	 532.9575	 431.0933
1964	 520.8262	 422.7949
1965	 561.2207	 398.3051
1966	 537.9219	 324.2986
1967	 316.4869	 496.5242
2006	 442.1180	 37.1612
2007	 418.3604	 39.9375
2008	 400.0488	 69.5245
2009	 399.9598	 64.7958
2010	 109.8675	 240.6042
2011	 124.6761	 226.1746
2012	 166.8714	 207.7751
2013	 126.1702	 215.4299
2014	 303.8520	 195.7967
2015	 293.9231	 158.8408
2016	 299.0004	 159.7376
2025	 193.9512	 32.1051
2026	 171.7309	 57.1427
2027	 152.8992	 44.5108
2028	 206.2239	 138.2789
2030	 330.5381	 111.0714
2031	 314.1215	 122.1737
2037	 402.8616	 8.8381
2038	 389.0396	 5.0818
2110	 163.9031	 146.8578
2111	 151.5673	 172.8067
2112	 189.8502	 142.6503
2113	 175.5950	 141.7692
2114	 195.9012	 190.1542
2115	 172.9099	 195.6345
2116	 133.0387	 131.1430
2117	 27.1294	 149.3546
2593	 49.8431	 568.4306
2594	 37.0143	 592.4374
2901	 146.1888	 413.4226
2902	 111.4533	 428.5666
2903	 114.7260	 442.2045
2904	 141.8756	 457.1655
2905	 159.2287	 442.2323
2906	 425.0203	 338.9088
2907	 406.7508	 317.6145
2908	 423.6342	 290.9729
2909	 461.6283	 301.7955
2910	 467.7245	 316.6843
2911	 296.5266	 358.1178
2912	 266.5419	 405.7048
2913	 234.8870	 377.5348
2914	 234.5683	 375.3062
2915	 264.9608	 344.5291
2916	 294.4894	 356.3320
2917	 293.5607	 296.0907
2918	 290.9146	 291.7594
2919	 418.8536	 274.8367
2920	 430.7397	 255.5898
2921	 385.6576	 269.2907
2922	 26.0122	 271.4125
2923	 44.1575	 282.7680
2924	 24.5113	 250.0651
2925	 67.0843	 257.0088
2926	 45.2419	 235.5786
2927	 46.9936	 235.7874
2933	 120.0959	 512.8777
2934	 127.4686	 487.4897
2935	 97.8767	 469.4321
2936	 90.9055	 471.4381
2952	 36.1721	 315.8412
2953	 36.2011	 316.5941
2957	 9.3612	 333.1437
2970	 740.3669	 101.6283
2971	 738.8052	 105.5546
2972	 700.7733	 60.6606
2973	 680.2327	 108.6199
2974	 693.4394	 123.8182
2975	 748.2999	 401.6578
2976	 735.0521	 255.9225
2977	 747.0108	 290.5576
2978	 747.8775	 288.0950
2979	 700.2115	 271.7024
2997	 606.4431	 270.1744
2998	 623.6374	 260.3268
2999	 619.1085	 299.4305
3000	 630.2442	 299.0139
3001	 592.2706	 269.8803
3002	 582.7894	 257.2987
3003	 561.1099	 253.4535
3004	 544.0397	 273.9524
3005	 556.2046	 295.6609
3006	 572.4012	 146.7461
3007	 599.9286	 184.0734
3008	 638.8551	 4.7828
3010	 456.5720	 221.8355
3011	 472.9878	 217.6860
3012	 432.9596	 188.4495
3013	 432.2563	 204.6442
3014	 519.7574	 226.9412
3015	 555.2302	 219.3708
3016	 551.9758	 224.0729
3017	 477.3194	 460.9452
3018	 431.2414	 490.2813
3019	 453.7338	 371.6697
3020	 462.8847	 368.3166
3021	 371.9323	 499.9398
3022	 401.0166	 513.5360
3023	 609.6357	 436.7351
3024	 585.9904	 481.4368
3025	 598.3345	 468.9913
3026	 535.1195	 436.6826
3027	 534.4644	 448.1073
3028	 592.6133	 436.1920
3029	 602.9875	 440.5497
3030	 733.2882	 612.1556
3031	 725.2049	 583.2052
3032	 689.3803	 519.5474
3033	 642.8672	 488.9600
3036	 730.8050	 499.4292
3037	 734.2003	 501.5720
3038	 741.3137	 534.9721
3039	 692.2942	 521.1379
3040	 705.4876	 549.2498
3050	 510.3420	 357.0458
3051	 535.5303	 373.8257
3052	 515.6252	 401.7451
3053	 490.1437	 385.0041
3054	 489.9597	 384.3543
3055	 608.7431	 306.4913
3056	 582.6206	 295.7718
3057	 576.6875	 299.1500
3058	 277.9649	 597.3310
3059	 245.0124	 580.7771
3060	 249.9969	 607.5880
3061	 182.9715	 548.0238
3062	 193.1869	 517.0769
3063	 182.5417	 524.2783
3064	 181.8368	 590.0174
3065	 151.1644	 555.7162
3066	 180.2007	 550.3619
3067	 269.4408	 569.0232
3068	 290.7597	 543.3332
3069	 276.9429	 575.7171
3070	 272.6296	 569.6950
3071	 321.5381	 503.6602
3072	 357.0743	 514.5042
3073	 359.6256	 538.0824
3074	 320.4729	 551.3938
3075	 315.3190	 545.6078
3077	 311.6407	 577.2427
3078	 321.6159	 563.7859
3114	 576.6898	 0.5927
3115	 561.7946	 11.9224
3117	 592.6881	 38.5175
3118	 564.6194	 48.2434
3119	 565.5597	 48.8625
3120	 535.6201	 58.1613
3121	 548.1302	 47.9890
3122	 457.9441	 67.8499
3123	 412.9889	 85.3984
3124	 435.0588	 88.9735
3125	 400.8021	 125.7446
3126	 428.4062	 141.0516
3127	 532.4663	 80.2422
3128	 115.0441	 266.0785
3129	 112.6739	 305.5902
3130	 87.8703	 278.2113
3131	 88.2573	 305.2265
3132	 84.7044	 298.9740
3133	 153.8713	 312.2387
3134	 128.2477	 288.2145
3135	 129.8262	 275.5348
3137	 178.3933	 10.3611
3138	 152.1184	 15.7416
3140	 171.9691	 59.6354
3141	 162.9046	 103.2889
3142	 155.5558	 101.2452
3143	 79.5785	 100.2281
3144	 305.7522	 34.9105
3145	 339.1385	 67.2882
3146	 325.7805	 78.8101
3147	 229.8247	 95.2831
3148	 187.9151	 76.9891
3149	 194.9245	 103.2843
3150	 186.1632	 95.4865
3151	 207.7321	 34.3723
3152	 220.3501	 65.1481
3153	 222.6925	 66.5989
3154	 236.2029	 114.5646
3155	 234.6489	 99.7858
3156	 271.8072	 127.9923
3157	 255.1869	 132.4483
3158	 286.2027	 108.9641
3207	 121.3207	 146.3514
3208	 97.8315	 133.8168
3209	 31.3460	 168.4035
3210	 21.0108	 199.3019
3211	 25.9599	 202.1316
3212	 7.5025	 32.2758
3213	 0.2089	 20.2147
3617	 87.3263	 551.9334
3618	 71.0073	 570.1036
4006	 215.3529	 306.1596
4007	 219.1879	 338.5775
4008	 228.5017	 327.6285
4009	 193.1377	 307.5922
4010	 188.8355	 334.0782
4011	 184.5890	 322.7966
4012	 241.8739	 326.2136
4013	 260.4833	 336.4760
4014	 248.6247	 291.6950
