INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	100
Global:
LX	701.698
LY	713.021
A0	1406.25
SEED	89542
TIMEINTERVAL	1
MINAREA	14.0625
MINLENGTH	0.625
NEWEDGELENGTH	1.25
K	1.33333
GAMMA	10
TOTALTIME	100
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	4
ALPHAM	0.4
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	-0.05
equilibriumtolerance	0.01
NUCLEATIONTHRESHOLD	2
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	400
endGlobal
Vertices
id	x	y	Angles(theta1)	Angles(theta2)	Angles(theta3)	PsiAngle1	PsiAngle2	PsiAngle3
127	83.7573	223.255	2.16831	1.97895	2.13592	0.7721	1.30153	0.217377
131	690.159	123.735	2.32183	2.05159	1.90977	1.04333	1.14338	0.0175385
313	244.528	397.915	2.19186	2.23282	1.85851	1.49318	0.719162	0.376767
314	236.727	426.688	1.82604	2.21774	2.23941	0.922552	0.197152	1.11017
315	207.085	426.405	1.90192	2.28179	2.09947	0.941431	1.15043	0.199464
316	312.245	303.27	2.12006	1.91347	2.24966	0.600616	1.41615	0.356119
317	343.92	318.94	2.01467	2.41114	1.85738	1.46675	0.53806	0.469276
318	262.056	390.561	2.35729	1.9566	1.96929	0.390903	1.37555	0.587398
320	695.377	177.841	2.24463	1.98896	2.0496	1.5483	0.568492	0.553822
325	74.7875	424.433	2.0578	2.2135	2.01188	0.947223	1.18843	0.159526
327	66.4045	404.896	2.08706	2.12061	2.07551	1.14291	0.105159	0.93837
332	685.862	549.712	2.13921	1.99976	2.14421	0.287749	1.35986	0.712133
338	350.957	386.68	1.97939	2.32284	1.98096	1.27338	0.877733	0.11196
339	334.336	366.636	2.03515	2.00664	2.2414	0.139057	1.25975	0.864263
340	303.064	374.836	2.0269	1.80875	2.44754	1.26988	0.647938	0.36551
342	341.028	335.502	2.31419	2.12965	1.83935	0.240871	1.16054	0.823955
343	345.475	341.296	2.40204	1.80829	2.07285	1.02435	1.08082	0.120205
344	278.916	407.5	2.3281	2.00888	1.94621	1.1898	0.978688	0.18536
345	333.188	433.397	1.86365	2.26377	2.15577	0.133399	1.21128	0.998486
346	343.227	401.958	1.86686	2.20984	2.20648	1.10572	0.00248083	0.93095
347	346.721	408.949	2.2925	1.81806	2.17262	0.887941	1.16734	0.0210895
348	309.029	435.32	2.00088	2.14872	2.13359	1.07984	0.99496	0.00547979
349	303.437	395.034	1.76157	2.09698	2.42463	0.708496	1.22078	0.339995
350	293.28	407.13	1.93363	2.05453	2.29503	0.0944968	1.05302	1.12176
351	349.184	101.364	2.30738	1.82825	2.14756	0.343577	1.41735	0.570547
352	328.552	171.045	1.80745	2.40649	2.06924	1.0578	1.04917	0.145446
