INTEGRATORNAME	RK4_Adaptive
CURRENTTIME	100
Global:
LX	602.996
LY	911.301
A0	1406.25
SEED	89542
TIMEINTERVAL	1
MINAREA	14.0625
MINLENGTH	0.625
NEWEDGELENGTH	1.25
K	1.33333
GAMMA	10
TOTALTIME	100
VERBOSEON	1
INITIALSTEPSIZE	0.0001
error_tolerance_absolute_mechanical	0.01
TISSUE_ALPHA	4
ALPHAM	0.4
TISSUE_EXT_STRESS_X	0
TISSUE_EXT_STRESS_Y	-0.05
equilibriumtolerance	0.01
NUCLEATIONTHRESHOLD	2
NUCLEATIONBASECRITERIA	0
PuLLINGDIR_X	0
PuLLINGDIR_Y	1
C4	0
NUMBER_OF_CELLS	400
EpsilonMax	2
KAPPA	0.23
GAMMA0	1
Y	5.66
endGlobal
Vertices
id	x	y	Anglestheta1	Anglestheta2	Anglestheta3	PsiAngle1	PsiAngle2	PsiAngle3	Nucleation1	Nucleation2	Nucleation3
127	72.0294	284.391	2.18893	1.61345	2.48081	0.628773	1.27241	0.17795	0	0	1
131	589.705	158.902	1.98005	1.77951	2.52363	0.888016	0.991762	0.0017388	0	0	1
313	210.702	510.98	1.65473	2.39153	2.23692	1.50744	0.515688	0.311679	0	0	0
314	205.683	546.426	1.67303	2.78397	1.82619	0.87494	0.0381542	0.874668	0	1	0
315	176.768	545.315	1.7779	1.7708	2.73449	0.850522	0.923825	0.0348764	0	0	0
316	268.186	388.563	2.25367	1.53643	2.49309	0.498891	1.39616	0.269326	0	0	0
317	298.415	410.509	1.38624	2.87013	2.02682	1.32106	0.307649	0.385469	0	0	0
318	225.967	498.634	2.7108	1.39892	2.17346	0.292806	1.37954	0.406654	0	0	0
320	595.364	228.906	1.65937	2.27661	2.34721	1.55443	0.413555	0.416128	0	0	0
325	62.771	541.423	1.85378	1.85639	2.57302	0.826926	1.02816	0.101268	0	0	0
327	58.4511	518.084	1.73406	2.66319	1.88593	0.999147	0.0561816	0.810851	0	0	0
332	589.874	701.215	2.68122	1.36456	2.2374	0.17278	1.29148	0.509502	0	0	0
338	298.789	495.612	1.58001	2.17341	2.52977	1.21513	0.661576	0.128428	0	0	0
339	286.011	468.066	2.40954	1.61178	2.26187	0.0683145	1.19925	0.737574	1	0	0
340	255.806	480.601	1.47853	1.93582	2.86883	1.13263	0.57455	0.164718	0	0	0
342	295.225	428.881	2.91655	1.47177	1.89487	0.0593955	0.888038	0.795279	0	0	0
343	295.64	436.685	1.9598	1.53263	2.79076	0.64402	1.10219	0.122293	0	0	0
344	238.781	521.638	2.013	1.81944	2.45075	1.0725	0.843717	0.162781	0	0	0
345	287.269	552.669	2.36634	1.8841	2.03274	0.0818317	1.0982	0.860217	1	0	0
346	295.45	514.231	1.49599	2.77088	2.01632	1.00029	0.00787496	0.755868	0	0	0
347	296.963	521.963	2.17863	1.46198	2.64257	0.674712	1.1456	0.0562797	0	0	0
